respondent_id,age,sex,education,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,sought_support
R001,36,M,Graduate,2,3,3,2,4,1,1,3,3,1,3,1,2,2,3,2,3,2,3,4,1,3,4,2,3,2,1,1,5,1,4,1,3,5,2,1,3,3,2,5,1
R002,57,F,Graduate,3,4,1,2,4,1,1,1,1,3,2,1,2,2,2,2,5,2,1,3,3,8,4,2,1,1,2,3,2,3,4,3,2,4,1,1,4,3,2,3,0
R003,20,M,Some college,3,2,4,4,2,2,2,4,5,5,3,5,3,1,4,3,4,5,3,5,5,3,2,3,3,3,3,4,3,2,1,4,5,3,5,4,4,1,4,3,0
R004,21,F,Graduate,2,5,5,4,2,5,3,5,5,5,3,5,5,9,4,4,2,5,3,5,5,5,2,2,4,4,3,4,2,5,4,4,3,1,5,4,5,2,4,2,1
R005,74,M,Bachelors,4,2,2,3,4,5,3,3,3,3,2,2,2,9,3,2,3,4,2,3,3,2,5,3,3,3,2,1,4,3,3,2,3,3,3,3,1,3,2,5,0
R006,29,F,Bachelors,3,3,4,2,3,3,5,2,4,3,3,4,4,4,5,4,3,1,1,5,4,3,4,2,5,2,3,2,1,2,4,3,3,4,4,1,4,4,5,5,1
R007,32,F,Some college,4,1,3,2,4,2,3,3,4,3,4,2,2,9,1,1,2,2,4,3,1,2,3,3,1,4,4,2,2,5,3,4,2,3,3,2,5,5,1,5,0
R008,23,F,High school,2,5,3,2,3,2,3,1,1,2,4,4,4,9,3,3,4,1,2,1,2,2,3,2,3,1,4,1,3,3,2,4,8,4,2,3,3,3,2,3,0
R009,40,M,Bachelors,4,2,3,5,2,4,3,2,7,5,1,5,5,4,4,2,1,5,1,4,3,5,1,5,5,5,3,5,1,5,5,5,8,3,3,5,4,1,5,2,1
R010,29,F,Some college,1,1,4,4,3,3,4,4,1,4,3,2,2,3,4,3,5,3,2,2,2,4,2,3,4,3,4,3,5,5,4,3,1,4,3,2,4,5,2,2,0
R011,42,F,High school,3,3,3,3,3,4,4,4,3,2,4,4,3,2,4,3,3,3,1,4,4,3,4,4,3,2,4,3,2,4,3,5,3,4,3,3,2,4,4,5,0
R012,31,M,Bachelors,2,2,4,3,2,3,1,2,2,1,5,3,3,9,3,5,4,3,,2,2,1,4,4,3,2,3,3,3,3,2,4,3,5,1,4,2,1,5,3,0
R013,20,F,Some college,1,3,1,4,9,3,3,5,7,3,3,3,2,9,1,2,3,3,3,3,4,3,4,3,1,3,2,2,5,1,1,5,1,3,4,1,1,4,2,4,0
R014,80,M,High school,4,5,5,4,1,4,4,5,5,5,2,5,5,3,5,5,1,3,5,4,4,5,1,5,5,5,5,5,1,4,5,2,8,1,4,5,5,1,5,1,1
R015,48,M,Some college,2,3,2,4,5,3,2,3,4,4,4,4,3,3,2,3,3,4,4,4,2,4,3,2,1,1,5,2,2,3,2,2,3,4,3,4,3,3,5,2,1
R016,45,M,Graduate,4,5,3,3,4,3,1,2,1,1,4,2,2,2,2,2,3,4,3,4,3,4,5,2,3,4,2,3,3,3,4,3,2,5,2,3,3,3,2,1,0
R017,71,M,Graduate,3,2,2,3,3,4,2,5,4,4,2,2,3,3,4,4,5,3,1,1,3,2,3,2,4,3,5,3,3,1,4,3,4,2,3,3,2,2,3,2,1
R018,38,M,High school,3,2,4,1,3,3,,4,2,3,5,4,2,9,3,1,2,1,1,3,4,3,5,2,3,2,3,4,2,2,1,4,3,3,3,2,2,3,3,2,0
R019,31,M,Some college,1,3,3,3,4,1,1,2,1,1,4,3,1,3,1,2,4,2,2,1,3,1,4,2,2,3,4,2,5,1,3,5,2,4,2,3,3,5,2,5,0
