sample_id,probe_000,probe_001,probe_002,probe_003,probe_004,probe_005,probe_006,probe_007,probe_008,probe_009,probe_010,probe_011,probe_012,probe_013,probe_014,probe_015,probe_016,probe_017,probe_018,probe_019,probe_020,probe_021,probe_022,probe_023,probe_024,probe_025,probe_026,probe_027,probe_028,probe_029,probe_030,probe_031,probe_032,probe_033,probe_034,probe_035,probe_036,probe_037,probe_038,probe_039,probe_040,probe_041,probe_042,probe_043,probe_044,responder
S000,-1.224,0.378,0.995,-0.513,-1.329,-0.066,0.478,1.098,-1.216,-1.293,0.706,0.474,1.534,0.982,-0.102,-0.274,2.571,-0.289,-0.785,-1.138,0.095,0.145,-0.345,-0.062,0.273,0.692,1.097,0.21,-1.79,0.702,-1.42,-0.171,-1.474,0.002,-0.779,0.214,3.3,-0.049,0.842,-1.323,-0.288,0.662,-0.093,0.37,0.103,0
S001,0.564,-0.812,1.872,-0.505,0.686,0.002,0.952,-0.602,0.999,-0.124,1.263,0.624,0.141,-0.78,0.768,0.468,1.642,-0.377,0.555,0.508,0.283,0.208,0.182,-0.598,-1.014,-0.396,0.591,1.511,0.977,1.053,0.777,0.698,0.183,0.772,1.774,-0.328,-0.694,1.96,0.245,0.971,0.874,-1.136,2.433,1.776,0.177,1
S002,0.127,-0.884,-0.112,0.374,1.116,0.709,0.06,1.355,-0.761,0.793,1.112,-0.292,-1.791,-0.906,0.237,0.528,1.548,-1.004,0.002,0.649,-0.158,-2.37,0.806,2.312,1.004,-0.917,-0.412,0.222,2.489,0.617,0.114,1.557,-0.082,1.861,-0.685,-0.475,0.721,1.424,0.654,0.302,-1.822,-0.713,-0.611,-0.534,0.586,1
S003,0.788,0.082,-0.333,0.118,0.429,0.858,-0.478,-0.233,-1.364,1.604,1.452,-0.179,-0.478,-1.236,0.17,0.206,2.182,0.246,-0.778,-2.445,1.409,0.189,-1.609,0.18,-1.609,3.48,1.119,0.572,-0.175,-2.14,-0.126,-1.555,0.596,-2.139,-0.908,1.22,1.644,-1.181,-1.534,0.879,0.853,-0.987,-0.694,-0.694,-1.189,1
S004,1.251,0.69,2.057,-0.086,-0.135,-0.982,-0.124,-1.313,-1.777,0.697,1.44,0.837,1.332,0.252,-0.718,0.086,-0.374,-1.111,-1.692,-1.483,-0.006,0.151,-0.475,1.429,0.179,0.583,1.219,-0.82,-1.97,0.752,-0.688,1.311,0.338,1.007,0.764,-2.081,0.719,-0.673,-0.756,-0.435,0.768,0.884,1.011,-1.66,-0.591,0
S005,-0.102,0.6,-0.764,0.245,0.231,1.008,-0.821,-0.829,-0.763,1.753,1.091,-0.124,0.226,0.114,0.203,-0.209,-0.334,-1.257,-0.642,1.65,0.537,0.065,-0.215,0.063,0.353,-0.646,0.196,0.24,-0.749,-0.789,-0.999,-1.063,0.89,-2.36,-0.267,-0.611,-0.62,0.098,1.128,0.076,-0.14,-0.612,-0.129,0.912,-0.394,0
S006,-1.264,-1.107,-1.39,1.099,0.355,-0.237,1.46,-0.658,0.753,0.801,-1.546,-1.557,-0.928,0.907,1.296,-1.228,1.049,-0.383,-0.393,-0.551,-0.324,-1.818,-1.001,-1.236,0.49,2.089,2.732,-0.337,-1.721,-0.407,-0.939,1.983,0.571,-0.729,0.936,0.536,-1.625,-0.531,-0.239,0.019,0.132,-0.339,0.19,-0.586,-0.897,1
S007,0.36,0.438,-1.595,-0.166,0.819,-1.291,1.098,-0.389,0.403,-0.133,0.218,1.203,-0.403,1.564,-0.782,-0.932,0.711,-1.066,-0.37,0.907,1.21,-1.775,0.506,1.884,1.195,-0.24,-0.601,-0.297,-1.153,-0.265,-0.187,-0.146,1.183,-0.23,-1.458,1.051,-1.073,-0.447,-0.134,-0.344,-1.003,-0.249,2.184,-0.607,-0.136,1
S008,0.745,0.763,0.862,-1.968,-0.864,0.128,0.499,1.294,0.47,-0.238,0.039,-0.211,0.247,0.674,-0.34,-0.814,-0.855,1.097,1.281,0.992,0.857,0.833,-0.002,0.664,-1.052,-0.203,-0.734,0.727,-0.58,-0.108,0.4,1.355,-0.792,-0.939,0.817,-1.106,0.452,-0.57,-0.106,-1.821,0.713,-0.5,-0.899,2.077,0.712,1
S009,0.408,-0.348,0.108,1.607,-0.027,0.451,0.517,-0.91,0.129,-0.503,-1.245,0.872,0.666,0.075,-0.907,-2.006,0.485,-0.098,-1.684,-0.06,-1.521,-0.027,0.143,0.355,0.217,0.171,-1.14,-0.384,-0.511,-0.236,0.27,0.619,1.635,-2.569,0.401,-0.198,2.276,0.934,-1.653,0.402,-0.521,0.994,-1.056,-0.102,-0.132,1
S010,-0.584,-1.838,0.46,0.999,-0.068,-1.017,0.203,0.565,-0.176,-0.014,1.409,-1.119,-0.558,-1.906,-0.7,-0.74,-0.96,-0.694,1.797,-0.196,-0.114,2.198,-0.061,-1.734,0.403,-0.937,1.639,-1.246,-0.58,-1.606,0.097,-1.016,-0.065,-0.377,-0.613,0.943,0.935,0.062,-0.9,-1.07,0.27,2.391,-0.457,-0.785,-0.697,0
S011,-0.972,-0.205,1.434,-0.001,-0.511,-1.615,0.213,-0.027,-1.226,-1.087,-0.042,1.012,0.627,0.206,-0.323,0.321,-0.012,2.173,-1.132,-0.368,1.268,-0.266,1.425,-0.044,0.145,-0.371,-1.38,-0.971,2.215,0.645,0.606,0.954,0.569,1.022,-0.266,-0.223,0.984,-0.352,-1.331,-0.226,-0.545,0.613,-0.72,-1.061,-0.332,0
S012,-0.048,0.161,0.009,0.296,0.928,1.396,-1.644,1.361,-0.003,-0.321,2.398,-0.17,1.945,0.968,-1.03,0.488,0.737,-0.125,-2.328,-0.344,-0.192,-1.108,1.826,-0.244,-0.393,-0.3,-0.784,-0.776,0.094,0.313,-0.507,-0.091,-1.39,0.522,-0.75,0.215,-0.907,-0.515,0.215,-1.211,2.469,-0.037,-0.073,-0.734,1.595,1
